Year,CO2
1800-01-01,0.00568
1801-01-01,0.00561
1802-01-01,0.00555
1803-01-01,0.00548
1804-01-01,0.00542
1805-01-01,0.00536
1806-01-01,0.00529
1807-01-01,0.00523
1808-01-01,0.00517
1809-01-01,0.00511
1810-01-01,0.00504
1811-01-01,0.00497
1812-01-01,0.0049
1813-01-01,0.00483
1814-01-01,0.00475
1815-01-01,0.00466
1816-01-01,0.00457
1817-01-01,0.00447
1818-01-01,0.00438
1819-01-01,0.00427
1820-01-01,0.00417
1821-01-01,0.00406
1822-01-01,0.00395
1823-01-01,0.00384
1824-01-01,0.00373
1825-01-01,0.00362
1826-01-01,0.0035
1827-01-01,0.00339
1828-01-01,0.00327
1829-01-01,0.00316
1830-01-01,0.00305
1831-01-01,0.00294
1832-01-01,0.00283
1833-01-01,0.00273
1834-01-01,0.00263
1835-01-01,0.00253
1836-01-01,0.00244
1837-01-01,0.00235
1838-01-01,0.00227
1839-01-01,0.00218
1840-01-01,0.0021
1841-01-01,0.00202
1842-01-01,0.00195
1843-01-01,0.00188
1844-01-01,0.00181
1845-01-01,0.00175
1846-01-01,0.0118
1847-01-01,0.0147
1848-01-01,0.0174
1849-01-01,0.0198
1850-01-01,0.0236
1851-01-01,0.0271
1852-01-01,0.0318
1853-01-01,0.0376
1854-01-01,0.0445
1855-01-01,0.0522
1856-01-01,0.0608
1857-01-01,0.0715
1858-01-01,0.0853
1859-01-01,0.0996
1860-01-01,0.118
1861-01-01,0.139
1862-01-01,0.167
1863-01-01,0.206
1864-01-01,0.242
1865-01-01,0.288
1866-01-01,0.346
1867-01-01,0.436
1868-01-01,0.255
1869-01-01,0.182
1870-01-01,0.321
1871-01-01,0.461
1872-01-01,0.471
1873-01-01,0.406
1874-01-01,0.404
1875-01-01,0.461
1876-01-01,0.45
1877-01-01,0.484
1878-01-01,0.456
1879-01-01,0.508
1880-01-01,1.2
1881-01-01,1.27
1882-01-01,1.48
1883-01-01,1.64
1884-01-01,1.87
1885-01-01,1.78
1886-01-01,1.87
1887-01-01,2.14
1888-01-01,2.77
1889-01-01,2.33
1890-01-01,2.53
1891-01-01,2.81
1892-01-01,2.78
1893-01-01,2.94
1894-01-01,2.78
1895-01-01,2.62
1896-01-01,2.81
1897-01-01,2.8
1898-01-01,2.94
1899-01-01,3.53
1900-01-01,3.73
1901-01-01,4.24
1902-01-01,4.49
1903-01-01,4.78
1904-01-01,5.5
1905-01-01,5.72
1906-01-01,5.87
1907-01-01,7.18
1908-01-01,7.02
1909-01-01,6.51
1910-01-01,7.2
1911-01-01,8.18
1912-01-01,8.86
1913-01-01,10.1
1914-01-01,8.53
1915-01-01,7.51
1916-01-01,9.33
1917-01-01,10.3
1918-01-01,10.7
1919-01-01,8.91
1920-01-01,9.64
1921-01-01,8.98
1922-01-01,7.6
1923-01-01,10.1
1924-01-01,8.27
1925-01-01,7.91
1926-01-01,8.75
1927-01-01,9.32
1928-01-01,9.32
1929-01-01,9.66
1930-01-01,9.04
1931-01-01,7.15
1932-01-01,6.53
1933-01-01,6.39
1934-01-01,7.28
1935-01-01,7.11
1936-01-01,7.7
1937-01-01,8.27
1938-01-01,7.5
1939-01-01,8.25
1940-01-01,9.33
1941-01-01,10.2
1942-01-01,11.0
1943-01-01,11.4
1944-01-01,11.5
1945-01-01,10.5
1946-01-01,11.0
1947-01-01,11.2
1948-01-01,12.1
1949-01-01,10.8
1950-01-01,11.2
1951-01-01,11.5
1952-01-01,11.0
1953-01-01,10.8
1954-01-01,10.7
1955-01-01,10.8
1956-01-01,11.7
1957-01-01,11.0
1958-01-01,10.7
1959-01-01,10.5
1960-01-01,10.8
1961-01-01,10.6
1962-01-01,11.1
1963-01-01,11.1
1964-01-01,12.3
1965-01-01,12.8
1966-01-01,12.9
1967-01-01,13.8
1968-01-01,14.6
1969-01-01,14.6
1970-01-01,15.9
1971-01-01,16.2
1972-01-01,17.2
1973-01-01,17.0
1974-01-01,17.1
1975-01-01,17.2
1976-01-01,17.0
1977-01-01,17.2
1978-01-01,17.3
1979-01-01,18.2
1980-01-01,18.1
1981-01-01,17.3
1982-01-01,16.6
1983-01-01,16.2
1984-01-01,16.6
1985-01-01,16.3
1986-01-01,15.5
1987-01-01,16.2
1988-01-01,16.9
1989-01-01,17.0
1990-01-01,15.7
1991-01-01,15.2
1992-01-01,15.5
1993-01-01,15.5
1994-01-01,15.7
1995-01-01,15.9
1996-01-01,16.2
1997-01-01,16.6
1998-01-01,16.8
1999-01-01,16.9
2000-01-01,17.4
2001-01-01,17.0
2002-01-01,16.6
2003-01-01,17.5
2004-01-01,17.3
2005-01-01,17.3
2006-01-01,16.7
2007-01-01,16.8
2008-01-01,16.8
2009-01-01,15.9
2010-01-01,15.6
2011-01-01,15.6
2012-01-01,14.8
2013-01-01,14.7
2014-01-01,15.1
